Mean Train Score,Std Train Score,Mean Test Score,Std Test Score,Mean model Training Time,Std model Training Time,Mean model num of leaves,Std model num of leaves,Mean model num of nodes,Std model num of nodes,Bucketizer,Scaler,Configuration
0.784997723808499,0.02203943975769754,0.6152407181039254,0.050108370913960705,0.006750000175088644,0.0036996621867625406,9.25,1.479019945774904,17.5,17.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.005000000004656613,0.0029154758263545094,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.003000000026077032,0.0012247447869847806,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7184876263867803,0.020542335071440113,0.5847417272595996,0.036810393035395565,0.0022500001068692654,0.001089724787644316,5.75,1.299038105676658,10.5,10.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7844467596211712,0.02123656702177345,0.618603946803477,0.047457736503688654,0.008249999838881195,0.005673402501300434,9.0,1.224744871391589,17.0,17.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.0062500000931322575,0.003960744970202077,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7184876263867803,0.020542335071440113,0.5847417272595996,0.036810393035395565,0.0022500001068692654,0.001089724787644316,5.75,1.299038105676658,10.5,10.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7844467596211712,0.02123656702177345,0.618603946803477,0.047457736503688654,0.008499999879859388,0.006103277520761549,9.0,1.224744871391589,17.0,17.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.006500000134110451,0.004387482355656634,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7184876263867803,0.020542335071440113,0.5847417272595996,0.036810393035395565,0.0022500001068692654,0.001089724787644316,5.75,1.299038105676658,10.5,10.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7844467596211712,0.02123656702177345,0.618603946803477,0.047457736503688654,0.008749999920837581,0.006533566956268149,9.0,1.224744871391589,17.0,17.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.006500000134110451,0.004387482355656634,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7184876263867803,0.020542335071440113,0.5847417272595996,0.036810393035395565,0.0022500001068692654,0.001089724787644316,5.75,1.299038105676658,10.5,10.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.0005, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7707926826234104,0.03250681531642512,0.5891088263829631,0.02889247188349499,0.006500000134110451,0.0037749172812874283,8.5,1.5,16.0,16.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.005000000004656613,0.0029154758263545094,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.003000000026077032,0.0012247447869847806,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7158016759735573,0.017497606026553564,0.5864233416093755,0.03430035038484174,0.002000000065891072,0.0007071067736132863,5.5,1.118033988749895,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 8, 'model_limit': 100}"
0.772307834138562,0.03434581963030526,0.5935931313156986,0.026442188378076804,0.008249999838881195,0.005673402501300434,8.5,1.5,16.0,16.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.0062500000931322575,0.003960744970202077,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7158016759735573,0.017497606026553564,0.5864233416093755,0.03430035038484174,0.0022500001068692654,0.001089724787644316,5.5,1.118033988749895,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 8, 'model_limit': 100}"
0.772307834138562,0.03434581963030526,0.5935931313156986,0.026442188378076804,0.008749999920837581,0.006533566956268149,8.5,1.5,16.0,16.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.006500000134110451,0.004387482355656634,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7158016759735573,0.017497606026553564,0.5864233416093755,0.03430035038484174,0.0022500001068692654,0.001089724787644316,5.5,1.118033988749895,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 8, 'model_limit': 100}"
0.772307834138562,0.03434581963030526,0.5935931313156986,0.026442188378076804,0.008749999920837581,0.006533566956268149,8.5,1.5,16.0,16.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.006500000134110451,0.004387482355656634,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 6, 'model_limit': 100}"
0.7338159651574431,0.02595630337652791,0.6029645308344982,0.05092335439441582,0.0035000000498257577,0.0014999999936359627,6.25,1.299038105676658,11.5,11.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 7, 'model_limit': 100}"
0.7158016759735573,0.017497606026553564,0.5864233416093755,0.03430035038484174,0.0022500001068692654,0.001089724787644316,5.5,1.118033988749895,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.001, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7635389422865376,0.02764253567356567,0.5978201844557951,0.033243008132224555,0.006500000134110451,0.0037749172812874283,8.0,1.224744871391589,15.0,15.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.005000000004656613,0.0029154758263545094,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 6, 'model_limit': 100}"
0.71845783843568,0.014831836712902478,0.581664082404005,0.07203202339467336,0.003000000026077032,0.0012247447869847806,5.5,0.8660254037844386,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 7, 'model_limit': 100}"
0.6976316034413742,0.018638543387178436,0.5746520411609449,0.05274710616040899,0.002000000065891072,0.0007071067736132863,4.75,0.4330127018922193,8.5,8.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 6, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7696684188705597,0.03477029588784083,0.5978201844557951,0.033243008132224555,0.008249999838881195,0.005673402501300434,8.25,1.479019945774904,15.5,15.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.0062500000931322575,0.003960744970202077,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 6, 'model_limit': 100}"
0.71845783843568,0.014831836712902478,0.581664082404005,0.07203202339467336,0.0035000000498257577,0.0014999999936359627,5.5,0.8660254037844386,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 7, 'model_limit': 100}"
0.6976316034413742,0.018638543387178436,0.5746520411609449,0.05274710616040899,0.0022500001068692654,0.001089724787644316,4.75,0.4330127018922193,8.5,8.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 7, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7696684188705597,0.03477029588784083,0.5978201844557951,0.033243008132224555,0.008749999920837581,0.006533566956268149,8.25,1.479019945774904,15.5,15.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 5, 'model_limit': 100}"
0.7574764348993265,0.027359812396623467,0.565496380781989,0.06023754726560957,0.006500000134110451,0.004387482355656634,7.5,0.8660254037844386,14.0,14.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 6, 'model_limit': 100}"
0.71845783843568,0.014831836712902478,0.581664082404005,0.07203202339467336,0.0035000000498257577,0.0014999999936359627,5.5,0.8660254037844386,10.0,10.0,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 7, 'model_limit': 100}"
0.6976316034413742,0.018638543387178436,0.5746520411609449,0.05274710616040899,0.0022500001068692654,0.001089724787644316,4.75,0.4330127018922193,8.5,8.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 8, 'minimum_captured_points': 8, 'model_limit': 100}"
0.7696684188705597,0.03477029588784083,0.5978201844557951,0.033243008132224555,0.008749999920837581,0.006533566956268149,8.25,1.479019945774904,15.5,15.5,"KBinsDiscretizer(encode='ordinal', n_bins=2, strategy='uniform')",StandardScaler(),"{'look_ahead': True, 'diagnostics': True, 'verbose': False, 'regularization': 0.002, 'uncertainty_tolerance': 0.0, 'upperbound': 0.0, 'depth_budget': 9, 'minimum_captured_points': 5, 'model_limit': 100}"
